FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
1637.5479999999995,-1.7499999999999998e-08,2.9213652630234376e-08,-2.1999999999999996e-07,3.1898275815473165e-08,2.206949251795337e-07,3.188210195688597e-08,-1.65017464135447,0.13245117880101742
1638.338,-5.5e-08,1.9653244007033546e-08,-1.775e-07,1.8866305944725902e-08,1.858258593414813e-07,1.8936550104605996e-08,-1.8712734951674777,0.10539744321189833
1639.0859999999998,-7.999999999999999e-08,2.4596747752497685e-08,-1.0749999999999999e-07,2.405072763972017e-08,1.3400093283257396e-07,2.4246751444704952e-08,-2.210566109621522,0.18211466870767817
1639.7979999999995,-4.2500000000000003e-08,2.069873184521216e-08,-1.6499999999999998e-07,2.7179955849853764e-08,1.7038559211388737e-07,2.6822437458924013e-08,-1.8228923074629706,0.12418873081547352
1640.472000000001,-6e-08,3.365263734092768e-08,-1.4999999999999994e-07,2.9368350311176824e-08,1.6155494421403506e-07,2.999568934547671e-08,-1.9513027039072617,0.20485099908760485
1641.1120000000005,-2.7500000000000008e-08,2.3311745966357816e-08,-1.9249999999999998e-07,2.6757008427699832e-08,1.9445436482630057e-07,2.669246148259841e-08,-1.7126933813990606,0.12026279763862041
1641.7180000000003,-6.499999999999999e-08,2.7179955849853764e-08,-1.3e-07,3.629738282576307e-08,1.4534441853748633e-07,3.4666266023325904e-08,-2.0344439357957027,0.2011211180905969
1642.294000000001,-1.5e-08,2.9601520231231364e-08,-2.4e-07,2.841654447676564e-08,2.404682931282209e-07,2.8421251023268247e-08,-1.633215136790854,0.12308068139861478
1642.842,-5.750000000000002e-08,3.414582697783142e-08,-2.0000000000000004e-07,2.8062430400804554e-08,2.0810153771656762e-07,2.8572576206127894e-08,-1.8507461493186879,0.16203678262969265
1643.3600000000001,-5e-08,2.8284271247461894e-08,-1.775e-07,2.221345313092946e-08,1.8440783605910025e-07,2.2715076874694204e-08,-1.845371608234522,0.15120300853785348
1643.8519999999996,-4.75e-08,3.091823895373085e-08,-1.8999999999999998e-07,2.2527760652137616e-08,1.9584751721683886e-07,2.3105814776168095e-08,-1.8157749899217608,0.15567553556962946
1644.3200000000002,-2.2500000000000003e-08,3.418241506974017e-08,-2.1499999999999998e-07,4.078909167902614e-08,2.1617411963507565e-07,4.072326325071884e-08,-1.675067938722552,0.15848711858041145
1644.7639999999997,-5.75e-08,2.96384463155544e-08,-1.4750000000000002e-07,3.230228320103704e-08,1.5831140198987565e-07,3.196358345183303e-08,-1.9425052769134816,0.18952144304345886
1645.1840000000004,-7.5e-09,2.812361107681587e-08,-1.5750000000000003e-07,3.504907274094423e-08,1.576784703122148e-07,3.503494942190547e-08,-1.61837943007188,0.1784720714897463
1645.5839999999996,-3.75e-08,4.044672421840859e-08,-1.3499999999999998e-07,4.214558102577303e-08,1.4011156269202052e-07,4.202616995775431e-08,-1.8417431771333173,0.2895605724471519
1645.962,-1.2500000000000002e-07,3.992179855667827e-08,-1.3999999999999996e-07,5.2749407579611734e-08,1.8768324379123458e-07,4.748892329106036e-08,-2.2996510532475276,0.24538622182400227
1646.3219999999997,-1.375e-07,6.273705045664802e-08,-2.0250000000000002e-07,5.910530856023001e-08,2.447703004859863e-07,6.02749925871343e-08,-2.1672973093147223,0.2517222220810812
1646.6619999999998,-6.250000000000001e-08,7.175261319283082e-08,-1.9499999999999999e-07,8.594329525914166e-08,2.0477121379725227e-07,8.472177329235832e-08,-1.8809643875828825,0.3574277068625043
1646.9860000000003,-1.0250000000000001e-07,8.95457285413436e-08,-2.2999999999999997e-07,9.489467845985885e-08,2.518059768949101e-07,9.402940588333937e-08,-1.990028720548792,0.35922063008954747
1647.294000000001,1.2499999999999996e-08,1.1268734400987538e-07,-2.75e-07,1.232629303562105e-07,2.752839443193155e-07,1.2324205867224546e-07,-1.5253730473733196,0.4094324153663013
1647.5839999999996,1.5000000000000005e-08,1.8755332575030496e-07,-4.749999999999999e-08,1.706778764222241e-07,4.981214711292818e-08,1.722763101723493e-07,-1.2649174553900444,3.7357587424408356
1647.8620000000005,-7e-08,2.3828554299411453e-07,-7.750000000000005e-08,2.608753294200124e-07,1.0443299287102716e-07,2.5097777380502457e-07,-2.305390786134123,2.3813235982582612
1648.1240000000003,1.3749999999999995e-07,2.805992471479565e-07,-1.000000000000001e-08,2.122675198894075e-07,1.3786315678962233e-07,2.8028332246881865e-07,-0.07259945373049473,1.5427218206876419
1648.3719999999998,-4.850000000000002e-07,2.693765951228874e-07,-8.925000000000001e-07,2.4270030387290415e-07,1.01576633631953e-06,2.4903355007839514e-07,-2.0685716492577395,0.2594422359529457
1648.6100000000001,-1.75e-07,4.283617046375644e-07,-4.9999999999999985e-08,4.0314389490602486e-07,1.8200274723201294e-07,4.265104955686187e-07,-2.863292994584682,2.225801002614472
1648.8339999999996,5.750000000000002e-08,1.4076909284356419e-07,7.475e-07,1.9305034965003304e-07,7.497082765983046e-07,1.927842725309669e-07,1.4940244355251187,0.18825091325724744
1649.0459999999991,-1.2499999999999965e-08,4.350556717248954e-07,-2.7499999999999965e-08,5.488337065997313e-07,3.020761493398638e-08,5.310835839267095e-07,-1.9974238199217722,15.113890984598067
1649.248,3.774999999999999e-07,6.80325978851315e-07,3.4e-07,5.791869301011548e-07,5.080415829437585e-07,6.370165879990092e-07,0.7331808662178912,1.233180211823063
