FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
4710.785701420602,-6.499999999999999e-08,1.1779218989389747e-08,-1.7e-07,1.1937336386313322e-08,1.8200274723201294e-07,1.1917285685641994e-08,-1.9359977765830696,0.06483146263602119
4718.893062346135,-6.25e-08,1.494782592887674e-08,-2.0749999999999997e-07,1.0767427733679015e-08,2.1670832932769332e-07,1.1174933658316135e-08,-1.8633580931987441,0.0675824373984162
4726.351016003135,-6.749999999999999e-08,1.2386989141837492e-08,-1.9249999999999998e-07,7.310095758606723e-09,2.0399142138825347e-07,8.02413447072053e-09,-1.9080495151165553,0.058516406286144296
4733.211580527257,-7.249999999999998e-08,1.1976539567003482e-08,-1.8249999999999995e-07,1.3818013605435478e-08,1.9637336886655475e-07,1.3581716634590099e-08,-1.9489386421174981,0.062349872492856714
4739.522607352353,-8.249999999999999e-08,1.7056890103415682e-08,-1.8749999999999993e-07,1.053268721647045e-08,2.0484750425621488e-07,1.1837787396965875e-08,-1.9853032013796827,0.0789779499691793
4745.328114967218,-8.749999999999998e-08,1.3169567191065922e-08,-1.7499999999999997e-07,1.4361406616345067e-08,1.9565594803123157e-07,1.4131082761062575e-08,-2.0344439357957027,0.06857142857142857
4750.668595938119,-7.250000000000001e-08,1.3451301052314605e-08,-2.05e-07,7.826237921249262e-09,2.1744252114064535e-07,8.634560947883977e-09,-1.910726696264517,0.05954342382065458
4755.581299338512,-6.999999999999999e-08,1.2449899597988732e-08,-1.6249999999999998e-07,1.4086784586980806e-08,1.7693572279220494e-07,1.3843364394973151e-08,-1.9775433985208677,0.07189059415351723
4760.100490555882,-5.75e-08,1.2881673027988249e-08,-2.2e-07,8.215838362577489e-09,2.2739008333698286e-07,8.590365756997446e-09,-1.8264412520728321,0.05556528898505664
4764.25769028781,-6e-08,1.2041594578792295e-08,-1.9499999999999999e-07,7.826237921249262e-09,2.0402205763103163e-07,8.276064477953468e-09,-1.8692952583810758,0.05752800738593297
4768.081894394225,-4.2500000000000003e-08,1.2386989141837494e-08,-1.699999999999999e-07,1.4317821063276351e-08,1.752319890887505e-07,1.4211506315824011e-08,-1.815774989921761,0.07138434302132944
4771.599776139286,-6.25e-08,1.452368754827781e-08,-1.825e-07,1.1871710070583764e-08,1.9290541723860425e-07,1.217725344006745e-08,-1.9007434189414514,0.07396619236200072
4774.835872233498,-7.999999999999999e-08,9.617692030835674e-09,-1.8249999999999997e-07,1.1871710070583764e-08,1.9926427175989174e-07,1.1538204577954602e-08,-1.983925159073298,0.05026166948373395
4777.812753973672,-4.5e-08,1.1672617529928751e-08,-1.8749999999999998e-07,1.165922381636102e-08,1.928244019827366e-07,1.1659953673457326e-08,-1.80634130751576,0.06053117937720084
4780.55118467443,-9.249999999999996e-08,1.552216157627538e-08,-1.7999999999999997e-07,9.617692030835674e-09,2.0237650555338676e-07,1.1113521826540051e-08,-2.0454932098750715,0.0715935988945948
4783.070264489273,-4e-08,1.3964240043768941e-08,-2.05e-07,7.826237921249262e-09,2.088659857420542e-07,8.133599702842184e-09,-1.7634970854572822,0.06601112277100174
4785.387563631366,-6.500000000000001e-08,1.2298373876248843e-08,-1.8999999999999993e-07,6.708203932499368e-09,2.0081085628023195e-07,7.492143022365226e-09,-1.9004207342156396,0.05894669441077421
4787.519244923205,-6.999999999999999e-08,1.1937336386313322e-08,-1.8749999999999998e-07,1.1659223816361018e-08,2.0014057559625432e-07,1.169359984540088e-08,-1.9281050098029966,0.059476516532699565
4789.480176529933,-1e-07,8.660254037844384e-09,-2.05e-07,6.9821200218844704e-09,2.2808989455914086e-07,7.334551869696252e-09,-2.0246403283164067,0.03666918983751149
